ABU ROAD ,ABR
adilabad ,adb
ADONI ,AD
ADRA ,ADRA
AGARTALA ,AGTL
AGRA FORT ,AF
AGRA CANTT. ,AGC
AHMADNAGAR ,ANG
AHMEDABAD ,ADI
AJMER ,AII
Ajni ,AJNI
AKOLA ,AK
ALIGARH ,ALJN
ALIPURDUAR Jn. ,APDJ
ALLAHABAD ,ALD
ALAPPUZHA ,ALLP
ALNAWAR Jn. ,LWR
ALUVA ,AWY
ALWAR ,AWR
AMALNER ,AN
AMB ANDAVRA ,AADR
AMBALA CANTT. ,UMB
AMBIKAPUR ,abkp
AMLa ,Amla
AMRITSAR ,ASR
ANAKAPALLE ,AKP
ANAND ,ANND
ANAND NAGAR ,ANDN
ANAND VIHar Terminus ,ANVT
ANANTAPUR ,ATP
ANGUL ,ANGL
ANNAVARAM ,ANV
ANUPPUR ,apr
ARA ,ARA
ARAKKONAM ,AJJ
ARSIKERE ,ASK
ASANSOL ,ASN
AUNRIHAR ,ARJ
AURANGABAD ,AWB
AYODHYA ,AY
AZAMGARH ,AMH
AZIMGANJ Jn. ,AZ
BADARPUR ,BPB
BADNERA Jn. ,BD
BAGALKOT ,Bgk
BAGHPAT ROAD ,BPM
BAIDYANATHDHAM ,BDME
BAKTHIYARPUR ,bKP
BALASORE ,BLS
BALAGHAT ,BTC
BALANGIR ,blgr
baluGAON ,BAlU
BALURGHAT ,BLGT
BALHARSHAH ,BPQ
BALLIA ,BUI
BANARHAT ,BNQ
BANDA Jn. ,BNDA
BANDEL Jn. ,BDC
BANDIKUI Jn. ,BKI
BANdra (T) ,Bdts
BANGALORE CITY ,SBC
BANGALORE CANTT. ,BNC
BANGARAPET ,BWt
bangriposi ,bgy
BANKURA ,BQA
BANMANKHI ,BNKI
BAPATLA ,BPP
BARABANKI Jn. ,BBK
BARaBIL ,BBN
BARAN ,BAZ
BARAUNI Jn. ,BJU
BARAUT ,BTU
BARAPALLI ,brPL
